LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID13028,13028,2,136.0,46.496571332398496,212.00035173350463,0.0,10.0,10,4.3616526305766605,1,,546.9191176470588,634.0,62.0,912.0,74381.0,213.63475425220696,249.38970588235293,231.0,58.0,700.0,33917.0,131.3227391549998,426.72058823529414,449.0,65.0,773.0,58034.0,171.10099643307794,-0.035089027348630536,-0.18619382747688584,-0.2095509797348752,-1.0068955375755435,0.0026653472247602085,0.013259246436137162,0.02843707685449,0.18944518158639267,5.518157189669788,4.008956813723453,-1.052766762646314,1.3764571298897619,59.76570158688669,33.14564765034265,0.6836107245632578,0.9611307420494698,4.28746411696593
ID13029,13029,2,123.0,47.29862239636344,210.80613459109873,0.0,6.0,6,4.147956337150549,1,,654.9430894308944,700.0,238.0,885.0,80558.0,156.17514867131814,239.6747967479675,237.0,59.0,613.0,29480.0,125.31314846919146,374.8373983739837,406.0,48.0,897.0,46105.0,187.7852092668791,-0.016713624746067916,-0.14256478300949432,-0.29278809779520387,-1.5836513623158153,-0.07446656854836733,-0.32120386267876605,0.03150799879416574,0.18381981379746085,5.272477360727494,3.4834363908326424,1.997390408884646,1.513585083569509,54.05280364108139,34.47147503292075,0.5716212359542105,0.911111111111111,4.688681741635834
ID13046,13046,2,138.0,47.44636615117401,211.6131583494481,0.0,7.0,7,4.393606556887562,1,,578.2753623188406,625.0,67.0,965.0,79802.0,220.2243967774669,241.56521739130434,246.0,26.0,609.0,33336.0,125.79492966246497,376.05797101449275,371.0,89.0,799.0,51896.0,187.3048870222625,-0.0915472070650046,-0.5292269975927512,-0.2558470776801839,-1.3204426067214825,0.008495306251372587,0.03382523664794829,0.40702311206690134,-0.035261289229207626,5.091468603729498,4.251539737679351,-0.21901150736913336,1.1975587476241283,60.644608963164465,34.471477669642866,0.641331044667105,0.9324324324324327,4.42653395994768
ID13032,13032,2,167.0,47.91238475364497,212.16768515345692,0.0,8.0,8,4.833256637807139,1,,497.36526946107784,515.0,84.0,970.0,83060.0,230.9860831170403,247.83832335329342,247.0,34.0,645.0,41389.0,131.84452862099508,388.1137724550898,406.0,53.0,828.0,64815.0,192.37561837227867,-0.08702960983718766,-0.41051589813602934,-0.24718684775971794,-1.2344528522877685,0.049223323869675976,0.18929625474514114,0.2651493910364686,0.08520690403208389,6.0809281671119395,4.21425484406463,2.1174082725997705,1.4429426772033822,73.38876591919171,41.100604035644835,0.5459376421661106,0.9201101928374648,4.797703580034265
ID13018,13018,2,118.0,46.87586305182832,209.33424440713682,0.0,11.0,11,4.06277362249421,1,,534.5677966101695,585.0,62.0,1003.0,63079.0,219.29882351898962,211.66949152542372,169.0,31.0,606.0,24977.0,139.99542453358086,338.8305084745763,277.0,48.0,818.0,39982.0,218.67738814728588,-0.09036676787889997,-0.4843272640702306,-0.2916631560863749,-1.245134192019505,-0.09962947729519459,-0.34290609828186164,-0.04001858517620945,0.11000502519669511,5.4631194613796765,3.013055913587714,-1.0711561529176343,1.813149048028988,51.85553520038696,37.12312452463266,0.47284188576970154,0.8973384030418244,5.155217127920064
ID13051,13051,2,86.0,48.83207249204839,210.72905175703977,0.0,3.0,3,3.4684133255841516,1,,724.5232558139535,729.0,417.0,978.0,62309.0,95.55641718152205,112.53488372093024,109.0,45.0,299.0,9678.0,47.31041364644875,170.1860465116279,154.0,51.0,536.0,14636.0,80.24675351731308,-0.02398425823223815,-0.3726421158188264,-0.5779821184426562,-6.515443249453476,-0.5064862363500057,-4.353061996849517,0.12101733001037712,-0.06495037392454887,4.891055890181917,2.5922681822613702,-0.9163680279299244,1.8867862220625626,37.793017179943035,35.79730241549885,0.3706131524127321,0.822966507177033,5.822969538537304
ID13020,13020,2,197.0,48.25473265525369,213.0708047788178,0.0,2.0,2,5.249461241931665,1,,570.994923857868,583.0,146.0,916.0,112486.0,184.79355545409757,185.5989847715736,148.0,26.0,511.0,36563.0,113.59737618675474,293.4568527918782,243.0,52.0,799.0,57811.0,181.0232942960647,-0.048279519488327,-0.3134937922786299,-0.40880037339455405,-2.259510814465123,-0.17660104718020286,-0.6953808897770628,0.03727210115815535,0.07705241069149005,7.465192750451516,3.8452404681716583,2.1232798687954775,1.9414111580909994,86.57237656335796,47.72973567509105,0.4775415286538371,0.9036697247706422,5.129787315748439
