LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID6816,6816,0,286.0,46.57541976218756,77.06683581178667,0.0,8.0,8,6.32504723808687,1,,736.6538461538462,749.0,347.0,959.0,210683.0,117.48416437925592,-0.11637940443626452,-1.651674350741394,-0.08899632975853895,0.153541911854508,10.295211433902127,3.9354666978624775,2.20858567395417,2.616007763321667,125.68325490503592,63.63951573108018,0.38997211245685515,0.885448916408669,5.67659821752716
ID6753,6753,0,257.0,47.78904931900553,78.83993366219914,0.0,0.0,0,5.9958024941450905,1,,862.0972762645914,877.0,420.0,1023.0,221559.0,117.3885203889835,-0.16500741701089106,-2.9025618862911515,-0.10167649638426737,0.11041999529546985,8.74270374416754,4.140714806376294,-1.0616216115532178,2.1113996382230034,112.93914863844138,59.66203885679363,0.3987109769179432,0.8638655462184877,5.614044306678576
ID6561,6561,0,263.0,48.15318010543111,76.11625382294974,0.0,6.0,6,6.065388605131468,1,,788.638783269962,794.0,410.0,1017.0,207412.0,108.00375814090782,-0.17089021887560304,-3.010054965927623,-0.1475487415344056,0.1823025656533408,9.170056868506924,3.943754455130108,2.0665222320558625,2.3252098914470567,115.57586027980572,59.662034462274235,0.40801946450150245,0.8795986622073575,5.549635904351554
ID6594,6594,0,258.0,48.13312292377869,78.63969878451603,0.0,5.0,5,6.007456154303044,1,,787.6007751937984,780.0,414.0,1021.0,203201.0,120.7242714909607,-0.21410165316904897,-3.55463639093976,-0.2133730420974303,0.2838973684903224,8.607673423848514,4.070284039915806,2.0039596052026902,2.1147598888520234,113.37860057866872,57.01038321274987,0.43836213730768286,0.9084507042253521,5.354123864834256
ID6724,6724,0,289.0,45.415262188004114,78.44595199493531,0.0,12.0,12,6.358134023065368,1,,719.242214532872,721.0,369.0,1005.0,207861.0,120.89459718453978,-0.114651411467244,-1.5408607020077814,-0.2885872401769704,0.49051492703060373,10.633628007700512,3.8803395736564332,-0.9596571514842499,2.7403859393884114,127.00161072571805,68.9428050465707,0.335769461582218,0.8500000000000001,6.117645888987731
ID6853,6853,0,267.0,46.59507396987261,77.96772302118744,0.0,14.0,14,6.111339175628101,1,,734.9250936329588,737.0,319.0,1006.0,196225.0,127.60407077840627,-0.11915745181483381,-1.5582296554722999,-0.21508805509834186,0.38427884280019586,10.2394575241451,3.7534063768367174,-0.9929964358713447,2.728043940921386,117.33366804071527,62.31369010631799,0.37972183534610976,0.8870431893687708,5.752705562573233
ID6727,6727,0,272.0,46.40633404613355,77.38750280128458,0.0,16.0,16,6.168296037395733,1,,743.4632352941177,744.0,423.0,973.0,202222.0,121.66310074333623,-0.1461822746836534,-2.0924744367805936,-0.16940301497838695,0.08228655300779741,9.846446019039067,4.026352260758215,2.126753496993848,2.4455003887774223,119.53092774185225,62.31368131727919,0.3868328402608307,0.8831168831168829,5.6995853795899505
