LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID84833,84833,0,161.0,132.41374616995927,93.58599573049568,0.0,0.0,0,4.745635898027853,1,,600.4223602484471,570.0,272.0,1083.0,96668.0,190.66540193987586,-0.0873320152706707,-0.6026645213941692,-0.025483176022019854,0.0033298949142345907,5.225247034613652,4.305726851725308,-1.3678478518620043,1.2135574815945167,70.75199688785999,41.10059436762762,0.5263230148053647,0.9173789173789167,4.886284518682429
ID84803,84803,0,153.0,134.6319596020781,96.03136976218782,0.0,5.0,5,4.626229694995084,1,,431.0980392156863,417.0,161.0,734.0,65958.0,117.240405549872,-0.034474326947222474,-0.26257942996557426,-0.014169819334970558,-0.0978271862326404,5.313084775259537,4.143885652660311,2.148829598033368,1.282150430924323,67.23636971330791,38.448943118103244,0.5715382592143133,0.9134328358208947,4.689022084035775
ID84930,84930,0,183.0,136.73029564658006,97.13302814855979,0.0,9.0,9,5.059493256502126,1,,363.24590163934425,351.0,153.0,870.0,66474.0,98.39452808051915,-0.11212944246686185,-0.9324590742110931,0.06662011058935287,-0.02596023553642043,5.890725836180446,4.423463544882949,3.0847240193861696,1.3316998719238506,80.41997161787819,41.10059436762759,0.5982429298719377,0.9265822784810126,4.583171879918352
ID84900,84900,0,121.0,135.95739133924863,97.53584131256605,0.0,10.0,10,4.1140935390033535,1,,377.7190082644628,368.0,139.0,781.0,45704.0,121.34195641110676,-0.0395981145855756,-0.2566902350245776,0.010480006698992133,-0.14737338715325146,4.583138345049002,3.7733876176429444,0.7778187632077325,1.2145951620819357,53.173861015099845,33.14564061905455,0.6082123377349832,0.9307692307692298,4.5454545454545485
ID84902,84902,0,153.0,131.75500465161025,92.12754986705222,0.0,1.0,1,4.6262296949950805,1,,384.5686274509804,380.0,199.0,712.0,58839.0,99.0086230100215,-0.07985483988295533,-0.6741797823280264,0.05614790072720711,0.045508463826998635,5.341633131594417,4.1470859291115065,-0.4210015967767097,1.2880449604618722,67.23636971330781,37.12311749334103,0.6130914234684153,0.9357798165137606,4.527331667344885
ID84874,84874,0,154.0,136.24580145892162,99.86738472234623,0.0,8.0,8,4.641323469828287,1,,371.3181818181818,372.0,214.0,675.0,57183.0,81.03672245479264,-0.06025331012161196,-0.5875765424164452,0.08291582498581677,-0.17232834122583565,4.990771420678568,4.477094278146249,-0.3517144628342147,1.1147344930929193,67.67582311012706,37.123117493341056,0.6170985569551383,0.9418960244648316,4.512608598542128
ID84813,84813,0,103.0,136.35408585540125,96.52139269203528,0.0,7.0,7,3.7957717469083216,1,,392.19417475728153,381.0,196.0,707.0,40396.0,103.03826228710201,-0.08070292629937864,-0.6682916172771409,0.00861422253772642,0.09462081143433143,4.50933009623889,3.394667757456262,2.554148684356859,1.3283568285392036,45.26369987235773,31.819814994292358,0.5617778529856746,0.91150442477876,4.7295805351886075
