model,oversampling_f1,downsampling_f1,downsampling_std,improvement,status
LR,0.589,0.5187252854120855,0.17993833704321888,-0.07027471458791446,WORSE
RF,0.523,0.4459293944131323,0.35702735872014796,-0.07707060558686774,WORSE
XGB-OVR,0.55,0.4211601018438735,0.2619407874801406,-0.12883989815612656,WORSE
