LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_T,FRAME,RADIUS,VISIBILITY,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX,SOURCE_FILE,CHANNEL,META_DATE,META_MODEL
ID4035,4035,0,113.0,133.65008556140015,68.382592500503,17.0,17,5.963639485095113,1,139.2212389380531,144.0,43.0,246.0,15732.0,60.01781499112134,0.634706855592887,1.8013106417649496,0.1082924324289366,0.0526452168430308,8.518443339759099,4.278108992380767,1.1439967436769054,1.9911702471653456,111.73072987010666,55.684602411938826,0.4528060839995493,0.8793774319066145,5.268036862948145,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4038,4038,0,109.0,134.76877972339008,69.31382849375989,18.0,18,5.857137355392233,1,114.13761467889908,118.0,38.0,204.0,12441.0,44.83972855872929,0.5860388702436492,1.881084949569032,-0.0545329369501376,-0.5415951161348566,8.52598422051294,4.343053814821805,1.2065333328422287,1.963131147814884,107.77565978620896,59.66207401279148,0.380481776934765,0.8288973384030422,5.746957711326901,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4042,4042,0,115.0,134.46448014100253,71.15350826829871,19.0,19,6.016183579505589,1,124.58260869565216,124.0,43.0,243.0,14327.0,45.92518374385607,0.6029738624549319,2.0408381287343085,-0.1993239963526916,-0.7657546035218887,8.9068088819029,4.48481665049891,1.394432969946858,1.9859917530657727,113.70826491205544,53.69586661151246,0.4955873184675252,0.8914728682170537,5.035525964497696,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4044,4044,0,100.0,135.70138734209277,68.6014414357075,27.0,27,5.610120115145385,1,96.36,95.0,41.0,179.0,9636.0,34.63825175796961,0.5481687666119249,1.9700026383361504,0.0161894697567096,-0.0677052689971169,7.072357581260593,4.341616965324796,1.2571694234838675,1.628968570407157,98.87675209743954,49.71839501065966,0.5026548245743669,0.8771929824561403,5.0,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4049,4049,0,94.0,135.88989410786,69.4682340500012,25.0,25,5.439213255975289,1,102.19148936170212,102.0,36.0,190.0,9606.0,36.99964446087379,0.5649631076098701,1.9941745005955105,-0.4796801556234809,0.4447376054763359,6.332595919563188,5.208661347347909,-1.3722708719570555,1.2157818482070355,92.94414697159309,49.71839501065958,0.4724955350999062,0.8867924528301896,5.15710623129396,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4050,4050,0,95.0,139.22197306037484,75.20561434770272,0.0,0,5.468068701199797,1,98.52631578947368,97.0,46.0,188.0,9360.0,30.9453334416372,0.3986286838240038,1.814902034175,-0.0181187595064257,-0.1095367232746541,6.677655389124863,4.606965109739623,1.609150444757012,1.4494694945719422,93.93291449256728,47.72965921023322,0.5181446216858164,0.8837209302325579,4.924696090008741,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID3989,3989,0,118.0,133.6245067261068,68.58610457487437,8.0,8,6.094150334009116,1,249.4322033898305,250.0,54.0,461.0,29433.0,114.9790377634902,0.7744067125208232,1.893563118069286,-0.0475170976022996,0.0129153377943781,7.275992879340179,5.155748836665274,-1.4703587459891387,1.4112388151255004,116.67456747497856,51.70713081108602,0.5483845164550235,0.9042145593869731,4.78698801307128,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4054,4054,0,126.0,134.93414569718445,68.95862469891182,9.0,9,6.297344210856839,1,188.4206349206349,177.0,52.0,374.0,23741.0,87.62897723238389,0.7005662285844926,1.7716028222755915,-0.0690466844375436,-0.0553330671982037,7.414544891009251,5.268486747617409,1.609166380024278,1.407338624200272,124.58470764277372,53.6958666115124,0.5429913228426807,0.9032258064516128,4.810702354423637,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID3992,3992,0,61.0,137.82591141479472,72.36064113190699,2.0,2,4.381643881111162,1,110.95081967213116,105.0,66.0,169.0,6768.0,25.47444878664908,0.478784859670431,2.8202728603025067,-0.0699755298424507,-0.0419348448084991,4.854401697615676,3.987089668547532,-0.5925332969327385,1.2175301037019564,60.314818779438056,37.78598020810136,0.5308508362021525,0.8776978417266179,4.865401437450052,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID3995,3995,0,101.0,138.5420306118824,72.4116426343376,1.0,1,5.638100937675948,1,79.23762376237623,77.0,34.0,138.0,8003.0,25.67650619334784,0.4023981946724145,1.7709658615796051,0.2134728202281565,-0.2565051112098629,8.364007714023519,4.262157824627227,1.5148278398169832,1.9623880809141647,99.86551961841376,53.69586661151237,0.4352549492627838,0.8211382113821146,5.373200827133939,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4060,4060,0,102.0,135.85795154285194,69.33278927760944,20.0,20,5.665943580771521,1,119.04901960784314,110.0,39.0,215.0,12143.0,47.505992837377455,0.5823559973628545,1.8445557034384752,0.0183092447795963,-0.6735773031039436,7.876180995350342,4.419813489311555,1.5071303793236537,1.782016597396548,100.85428713938822,49.71839501065966,0.5127079210658538,0.8908296943231434,4.950737714883374,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
