feature,importance
CONTRAST_CH1,0.09577390878970594
QUALITY,0.08738902729079488
POSITION_Y,0.08197399309937536
MAX_INTENSITY_CH1,0.0727739169015094
SNR_CH1,0.035806101383727154
STD_INTENSITY_CH1,0.020006753122668718
SHAPE_INDEX,0.015896594241206752
POSITION_X,0.014835431386137143
ELLIPSE_ASPECTRATIO,0.014040774727210404
CIRCULARITY,0.011795831421200598
TOTAL_INTENSITY_CH1,0.009540216988539508
ELLIPSE_MAJOR,0.0086684009635564
