strategy,macro_f1,accuracy,k5_f1,k5_recall
Baseline,0.9614364218197715,0.9811389191149801,0.9877417597384909,0.9885496183206107
Light_K5_1.5x,0.9654104334484082,0.9815016322089227,0.9875,0.9907306434023991
Light_K5_2x,0.9653046979799643,0.9815016322089227,0.9877750611246944,0.9912758996728462
Light_K5_2.5x,0.9611222392488181,0.9807762060210373,0.9874932028276238,0.990185387131952
