CHANNEL (vs RFP),IRR,CI_lower,CI_upper,p_value
CFP,0.5985257425054569,0.48088315769295814,0.744948245141991,4.287103011854618e-06
YFP,0.7307269787886664,0.5475411275401018,0.9751996529073608,0.03312932804616705
