MODEL (vs K5),IRR,CI_lower,CI_upper,p_value
ELF5,3.534308362225189,2.7233051122974454,4.586829269657894,2.2501034818078335e-21
PR,2.599705740174381,2.0700929193992397,3.264814768535606,2.0357023051931584e-16
