MODEL (vs K5),IRR,CI_lower,CI_upper,p_value
ELF5,3.655026984320894,2.7752550952255537,4.813691641931079,2.8248011919053925e-20
PR,2.8607674597713793,2.221268688472175,3.684376636360851,3.8779391915674094e-16
