MODEL,Adjusted rate (per frame) @ ref channel,CI_lower,CI_upper,Ref CHANNEL
ELF5,13.980450561693756,11.201518767147915,17.448794397523358,RFP
K5,3.8249924341642947,2.9807614357758774,4.9083321280979435,RFP
PR,10.942413889528934,9.329325122816472,12.834414081777433,RFP
