MODEL,spf_mean,spf_median,adj_mean,ratio_adj_over_rawmean
ELF5,18.02,13.3,13.980450561693756,0.7758296649108632
K5,3.9174133811230587,4.193548387096774,3.824992434164295,0.9764076603699485
PR,10.587063907594581,7.923076923076923,10.942413889528934,1.0335645449046023
