MODEL (vs K5),IRR,CI_lower,CI_upper,p_value
ELF5,3.6526001999830027,2.773189541372922,4.810882206886914,3.0271813536150386e-20
PR,2.858519274071141,2.2194017916236657,3.6816823664264873,4.137542117553149e-16
