SOURCE_FILE,SPOT_COUNT,FRAMECOUNT,CHANNEL,MODEL,DATE,SPOTS_PER_FRAME
180119_pr_DUCT_corr_3Ddrift_track_corr_CFP_114-119_spots.csv,216,31,CFP,PR,,6.967741935483871
180119_pr_DUCT_corr_3Ddrift_track_corr_CFP_120-133_spots.csv,108,28,CFP,PR,,3.857142857142857
180119_pr_DUCT_corr_3Ddrift_track_corr_CFP_134-147_spots.csv,33,20,CFP,PR,,1.65
180119_pr_DUCT_corr_3Ddrift_track_corr_CFP_24-47_spots.csv,107,31,CFP,PR,,3.4516129032258065
180119_pr_DUCT_corr_3Ddrift_track_corr_CFP_48-57_spots.csv,93,31,CFP,PR,,3.0
180119_pr_DUCT_corr_3Ddrift_track_corr_CFP_58-72_spots.csv,562,31,CFP,PR,,18.129032258064516
180119_pr_DUCT_corr_3Ddrift_track_corr_CFP_73-80_spots.csv,693,31,CFP,PR,,22.35483870967742
180119_pr_DUCT_corr_3Ddrift_track_corr_CFP_81-88_spots.csv,654,31,CFP,PR,,21.096774193548388
180119_pr_DUCT_corr_3Ddrift_track_corr_CFP_89-95_spots.csv,634,31,CFP,PR,,20.451612903225808
180119_pr_DUCT_corr_3Ddrift_track_corr_CFP_96-103_spots.csv,577,31,CFP,PR,,18.612903225806452
180119_pr_DUCT_corr_3Ddrift_track_corr_RFP_109-118_spots.csv,447,31,RFP,PR,,14.419354838709678
180119_pr_DUCT_corr_3Ddrift_track_corr_RFP_119-128_spots.csv,366,31,RFP,PR,,11.806451612903226
180119_pr_DUCT_corr_3Ddrift_track_corr_RFP_129-140_spots.csv,240,31,RFP,PR,,7.741935483870968
180119_pr_DUCT_corr_3Ddrift_track_corr_RFP_19-55_spots.csv,82,31,RFP,PR,,2.6451612903225805
180119_pr_DUCT_corr_3Ddrift_track_corr_RFP_56-76_spots.csv,915,31,RFP,PR,,29.516129032258064
180119_pr_DUCT_corr_3Ddrift_track_corr_RFP_77-90_spots.csv,979,31,RFP,PR,,31.580645161290324
180119_pr_DUCT_corr_3Ddrift_track_corr_RFP_91-108_spots.csv,1077,31,RFP,PR,,34.74193548387097
181022_k5_OG_corr_3Ddrift_CFP_104-119_spots.csv,24,21,CFP,K5,,1.1428571428571428
181022_k5_OG_corr_3Ddrift_CFP_30-53_spots.csv,66,24,CFP,K5,,2.75
181022_k5_OG_corr_3Ddrift_CFP_54-63_spots.csv,55,26,CFP,K5,,2.1153846153846154
181022_k5_OG_corr_3Ddrift_CFP_64-73_spots.csv,163,30,CFP,K5,,5.433333333333334
